taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.00406271661631763,0.006
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.003115062601864338,0.001
Mollusca,Boreal Forests/Taiga,10,78,469,0.002901996485888958,0.078
Mollusca,Deserts & Xeric Shrublands,25,20,527,-0.0016802301979623735,0.689
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,0.0012646946124732494,0.331
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,-0.0012486092746257782,0.862
Mollusca,Temperate Conifer Forests,70,53,494,-0.0022592777386307716,0.859
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,-0.0010843281634151936,0.696
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.001103946939110756,0.258
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0028017594013363123,0.02
Mollusca,Tundra,9,43,504,0.00407836795784533,0.081
