taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.005726422765292227,0.943
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,0.0005745440721511841,0.232
Insecta,Temperate Conifer Forests,484,53,494,-0.00024222402134910226,0.595
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,0.00011060107499361038,0.46
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,0.0019122990779578686,0.242
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.0004563697148114443,0.314
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.0010458698961883783,0.085
Insecta,Tundra,81,43,504,0.0010893645230680704,0.209
Arachnida,Boreal Forests/Taiga,14,78,469,-0.0024107969366014004,0.937
Arachnida,Deserts & Xeric Shrublands,55,20,527,0.0023136219242587686,0.221
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.0008703574421815574,0.39
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,0.0002617760910652578,0.404
Arachnida,Temperate Conifer Forests,23,53,494,-0.0015753460829728283,0.767
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,0.0021686709951609373,0.151
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0028608060674741864,0.313
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.0023126222658902407,0.07
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.0023059980012476444,0.025
Mollusca,Boreal Forests/Taiga,10,78,469,0.0021965638734400272,0.128
Mollusca,Deserts & Xeric Shrublands,25,20,527,-0.0025104080559685826,0.779
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,0.0025176529306918383,0.176
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,-0.0011815889738500118,0.86
Mollusca,Temperate Conifer Forests,70,53,494,-0.002150649575924035,0.866
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,-0.0029474147595465183,0.936
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.0016513272130396217,0.177
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0024322221652255394,0.035
Mollusca,Tundra,9,43,504,0.00358238210901618,0.076
