motif_id,keep_in_filtered
h55a,True
h56,True
h6a,False
h6b,False
h6bb,True
h6c,False
h6d,True
h7,False
h7a,True
h7b,True
h7c,True
h7d,True
h7e,False
h7f,True
h8,True
h9,False
h9a,True
h9b,True
i1,False
i100,True
i100a,True
i100b,True
i100c,True
i100d,True
i101,True
i102,True
i103,True
i104,True
i105,True
i106,True
i107,True
i108,True
i109,True
i10a,True
i10b,True
i11,False
i110a,True
i110b,True
i111,True
i112,True
i113,True
i114,False
i115a,False
i116,True
i117,False
i117a,True
i118,True
i119,True
i12,False
i120,True
i121,False
i122,True
i123,True
i124,True
i125,True
i126,True
i127,True
i128,True
i129,True
i130,True
i131,True
i132,True
i132a,True
i132b,True
i133,True
i133a,True
i134,False
i13a,False
i13b,True
i13c,True
i13d,False
i14,False
i14a,True
i15,False
i15a,True
i16,True
i17,True
i18,True
i19,True
i2,False
i20,True
i20a,True
i20b,True
i21,True
i22,False
i22a,True
i22b,False
i23,True
i24,True
i25,False
i25a,False
i26,True
i27,False
i27a,True
i27b,True
i27c,False
i28,False
i28a,True
i29,True
i3,False
i30,True
i31,True
i32,True
i32a,True
i33,True
i34,False
i35,True
i35a,True
i35a1,False
i35a2,True
i35b,False
i36,True
i37d,True
i37e,True
i37f,True
i37g,True
i38,False
i38a,False
i39,False
i4,False
i40,True
i41,False
i41a,True
i41b,True
i41b1,True
i42,True
i43a,False
i43b,False
i44,True
i45a,True
i45b,True
i45c,True
i46,False
i46a,True
i46b,True
i46c,True
i46d,True
i46e,True
i47,True
i47a,False
i48,True
i49,True
i4a,False
i4b,True
i4c,True
i4d,True
i5,False
i50,False
i50a,False
i50b,False
i51a,False
i51b,False
i52,False
i53,True
i54,True
i55,False
i55a,True
i55b,False
i56,True
i57,True
i58,True
i59,True
i59a,True
i59b1,True
i59b2,True
i59b3,True
i59b4,False
i5a,True
i5b,True
i6,False
i60,True
i60a,True
i61,True
i61a,True
i62,True
i63,True
i64a,True
i65,True
i66,True
i67,True
i68,True
i69,True
i6a,True
i7,False
i70,True
i71,True
i72,False
i73,True
i74,True
i74a,True
i75,True
i76a,False
i76b,True
i77,True
i78,True
i7a,True
i80,True
i80a,True
i81,False
i81a,True
i81a1,True
i81b,True
i82a,False
i82b,False
i82c,True
i82d,False
i82e,True
i82f,True
i82g,True
i82h,True
i82i,True
i83,False
i84,False
i84a,False
i85,True
i85a,True
i85a1,True
i85b,False
i85c,True
i86,True
i86a,False
i87,False
i87a,False
i87a1,True
i87a2,False
i87aa,False
i87ab,True
i87ac,False
i87b,False
i87c,True
i87d,True
i88,False
i89,False
i8c,True
i8e,True
i8f,True
i8g,False
i8h,True
i8i,False
i9,False
i91,True
i92,True
i93,True
i94,True
i95,True
i95a,True
i95b,True
i95c,True
i96,True
i97,True
i98a,True
i98b,True
i99,True
j10,True
j11,True
j12,False
j12a,True
j12b,True
j12c,True
j12d,True
j12j,True
j12k,True
j12l,True
j12m,True
j13,True
j14,True
j15,False
j15a,True
j15b,True
j16,True
j17,False
j18,True
j18a,True
j19,True
j19a,True
j19b,True
j2,True
j20,False
j22a,True
j22b,True
j22c,True
j22d,True
j22e,False
j23,False
j23a,True
j24,True
j25,False
j25a,False
j25b,True
j26,False
j26a,True
j27,False
j27a,True
j27b,False
j28a,True
j28b,False
j29,True
j3,True
j30,False
j31,False
j32,False
j32a,True
j32b,False
j33,True
j33a,True
j34,True
j35,True
j36,True
j37,False
j38,True
j39,True
j4,False
j40,False
j40a,True
j41,False
j41a,True
j41b,True
j41c,True
j42,False
j43,True
j44,True
j45,False
j46,False
j47,False
j47a,True
j48,True
j49,True
j5,True
j50,True
j50a,True
j50b,False
j51,True
j51a,True
j51a1,True
j51b,True
j52,True
j52a,True
j52b,False
j53,True
j54,False
j54a,True
j54b,False
j55,False
j56,True
j56a,True
j57,True
j58,False
j58b,True
j59,False
j59a,False
j59b,True
j6,True
j60,True
j61,True
j62,False
j62a,True
j62b,True
j63,True
j64,True
j65,True
j66,False
j67,True
j68,True
j6a,True
j7,True
j8,True
j9,True
k100,False
k100a,False
k100b,False
k100c,False
k100d,True
k100e,True
k100f,False
k100f1,False
k100g,False
k101,True
k101a,True
k101b,False
k101c,True
k102,False
k102a,False
k102a1,False
k102a2,False
k102b,True
k103,False
k103a,False
k104,True
k105,True
k106,False
k107,False
k107a,False
k107b,False
k107c,False
k108,False
k108a,True
k109,True
k10a,False
k10b,True
k10c,True
k10d,True
k10e,True
k10f,True
k10g,False
k10h,True
k10i,True
k110,False
k111,True
k112,True
k113,False
k113a,False
k114,False
k115,False
k116,False
k116a,False
k116b,False
k117,True
k117a,False
k117b,True
k117c,True
k118,False
k119,False
k119a,False
k119b,True
k11a,False
k11b,False
k12,False
k120,False
k120a,False
k120a1,True
k120a2,False
k120a3,True
k120a4,False
k121,False
k122,False
k123,False
k123a,False
k123b,True
k124,True
k125,False
k126,True
k127,True
k127a,True
k128,True
k128a,True
k129,False
k129a,False
k12a,False
k130,False
k130a,False
k131,False
k131a,True
k131b,True
k132,False
k132a,True
k133,True
k134,False
k135,False
k136,True
k136a,False
k136b,False
k136c,False
k137,False
k138,True
k139,False
k13a,False
k13b,True
k13c,True
k13d,True
k14,False
k140,True
k141,True
k142,True
k143,True
k144,False
k145,True
k146,False
k147,True
k147a,True
k148,False
k149,True
k14a,False
k14b,True
k14c,False
k14d,True
k14e,True
k15,True
k150,False
k151,True
k152,False
k153,True
k154,False
k154a,False
k155,False
k156,False
k157,False
k157a,False
k158,False
k159,False
k15a,True
k15b,False
k15c,False
k16,True
k160,True
k161,False
k162,True
k163,False
k164,True
k165,False
k16a,True
k17,False
k18,False
k18a,True
k18b,True
k18c,True
k18d,False
k19a,True
k19b,False
k19c,True
k19d,True
k19e,True
k19f,True
k19g,True
k1c,False
k1d,True
k1e,False
k1f,False
k1g,True
k1h,True
k1i,True
k1j,True
k2,False
k20,True
k21,False
k22,True
k22a,True
k22aa,True
k22b,True
k22c,True
k23,False
k23a,True
k24,False
k24a,False
k24b,False
k25,False
k25a1,False
k25a2,True
k25a3,True
k25a4,True
k25a5,True
k25b,True
k25c,True
k25d,False
k26,False
k26a,True
k27a,False
k27b,True
k27c,False
k27d,False
k27e,False
k27f,False
k27f1,False
k27g,False
k27g1,True
k27h,True
k27hh,False
k27i,True
k27k,True
k27l,True
k27l1,False
k27ll,False
k27m,True
k27n,False
k27n1,False
k27n3a,True
k27n3b,False
k27n3c,True
k27nn,False
k27o,True
k27p,False
k27p1,False
k27q,False
k27q1,False
k27r,True
k27r1,True
k27s,False
k27ss,False
k27t,True
k27u,False
k27u1,True
k27u2,False
k27v,True
k27v1,False
k27v2,True
k27v3,False
k27w,True
k27x,True
k27x1,True
k27x2,True
k27x3,False
k27x4,False
k27y,True
k27y1,True
k27yy,True
k27z,False
k27z1,False
k27z2,True
k27z2a,True
k27z2a1,True
k27z2b,True
k27z2c,True
k27z2d,True
k27z2e,True
k27z3,False
k27z4,False
k27z4a,True
k27z4b,True
k27z5,True
k27z6,True
k27z7,False
k27z8,True
k27z9,False
k27zz,False
k27zz1,False
k27zz2,False
k27zz3,False
k28,False
k29a,False
k29b,True
k29c,True
k29d,False
k2a,False
k3,True
k30,False
k30a,False
k31,True
k32,False
k32a,False
k32b,False
k32b1,False
k32c,True
k32d,False
k32e,False
k32f,True
k32g,False
k32g1,False
k32h,True
k32h1,True
k32i,True
k32j,False
k33,False
k33a,False
k33a1,False
k33b,False
k33c,False
k33d,False
k33d1,False
k33e,True
k33f,False
k33g,False
k33h,False
k34,False
k35,False
k35a,False
k35a1,False
k35a2,True
k35a3,False
k35a4,True
k35a5,True
k35b,False
k35c,False
k35c1,False
k36,False
k37,False
k37a,False
k37c,True
k37d,True
k38,False
k38a,True
k38b,False
k38b1,True
k38b2,True
k38b3,False
k38c,False
k38d,False
k38e,False
k38e1,True
k38e2,True
k38f,False
k38f1,True
k38f2,True
k38f3,True
k39,False
k4,True
k40,False
k41,False
k42,True
k43a,True
k43b,True
k43c,True
k44,False
k44a,True
k44b,False
k45,True
k46,True
k47a,False
k47b,False
k47c,False
k47d,True
k48,False
k48a,True
k49,False
k5,True
k50,False
k51,False
k51a,True
k52,False
k52a,True
k52b,True
k52c,False
k52c1,True
k53,True
k54,False
k54a,True
k55,True
k56,False
k56a,False
k56a1,True
k56a2,True
k56a2a,True
k56a2b,True
k56a3,False
k56a4,True
k56a4a,True
k56a4b,True
k56a5,True
k56a5a,True
k56a5b,False
k56a6,True
k56a7,False
k56a8,False
k56a8a,False
k56a9,False
k56aa,False
k56ab,True
k56b,False
k56c,True
k56d,True
k56d1,True
k56e,True
k56f,True
k56f1,True
k56f2,True
k57,False
k57a,True
k58,False
k58a,True
k59,False
k6,True
k60a,False
k60b,False
k60c,False
k61a,True
k61b,True
k61c,True
k61c1,True
k61d,True
k61e,True
k61f,True
k62a,False
k63,True
k64,True
k64a,True
k64b,True
k65,False
k65a,True
k65b,True
k65c,True
k65c1,True
k65d,True
k65e,True
k65f,True
k66,False
k66a,False
k66b,False
k67,False
k67a,False
k67b,True
k67c,False
k67d,True
k68,True
k69,True
k7,True
k70,False
k71,False
k72,False
k72a,True
k73,False
k73a,False
k73a1,True
k73b,False
k73c,False
k74,False
k74a,False
k75,False
k75a,False
k76,False
k76a,True
k76b,False
k76c,True
k76d,True
k76e,True
k76f,True
k77a,True
k77b,False
k77b1,False
k77bb,True
k77c,True
k78,False
k79,False
k80,False
k80a,False
k80a1,False
k80a2,False
k80a3,True
k80a4,True
k80b,True
k80c,False
k80c1,True
k80c2,True
k80d,False
k81,False
k82,False
k82a,False
k83,False
k84,False
k85,True
k85a,True
k85b,True
k85c,True
k86,True
k87a,True
k87b,True
k88,False
k88a,False
k88b,False
k89,False
k89a,True
k89b,False
k89c,True
k89d,False
k8a,False
k8aa,False
k8b,True
k8c,False
k8c1,False
k8c2,True
k8c3,True
k8d,False
k8e,False
k8f,True
k9,True
k90,False
k90a,True
k90b,True
k91,True
k92,False
k92a,False
k92b,False
k93,True
k93a,True
k93b1,True
k93b2,False
k93b3,False
k93b4,False
k94,False
k95,False
k96,False
k97,True
k98,False
k99,True
k99a,False
k99a1,True
k99a2,True
k99b,False
k9a,True
l10,True
l100,False
l100a,False
l100b,True
l100c,True
l100d,False
l100d1,True
l100e,True
l100f,True
l100f1,True
l100g,True
l101,False
l102,True
l103,False
l103a,True
l103b,True
l104,False
l105,True
l106,True
l106a,False
l106b,True
l107,False
l108,False
l108a,True
l108b,False
l108c,False
l108e,True
l108f,True
l108g,True
l109,True
l10a,False
l11,True
l110,False
l110a,True
l110b,True
l110c,True
l111,True
l112,True
l113,False
l114,False
l114a,False
l114b,True
l114b1,True
l114c,False
l115,True
l116,True
l116a,False
l117,True
l118,True
l119,True
l12,True
l120,False
l120a,False
l121,False
l121a,False
l122,True
l122a,False
l123,True
l124,True
l125,False
l126,True
l127,False
l128,False
l13,True
l130,True
l14,False
l15a,False
l15a1,True
l15b,False
l15b1,True
l15c,False
l15d,False
l15e,False
l15e1,True
l15f,False
l15g,True
l15h,False
l15i,False
l17,False
l17a,False
l17b,True
l18,False
l19b,False
l1b,True
l1c,True
l1c1,True
l1c2,True
l1d,True
l1e,False
l1f,True
l20,True
l20a,True
l21,True
l22,True
l22a,True
l23,False
l23a,False
l23b,True
l24,True
l25,False
l26,True
l27,False
l27a,True
l28,True
l28a,True
l29,True
l3,True
l30,True
l31,True
l31a,True
l31b,True
l32,False
l33,True
l33a,False
l33b,True
l33c,True
l33d,True
l33e,True
l33f,True
l33g,True
l34,False
l35,True
l36,True
l37a,False
l37a1,True
l37a2,True
l37b,False
l37b1,True
l37c,True
l38,False
l38a,False
l39,False
l39a,True
l39b,True
l39c,True
l3a,True
l4,False
l40,False
l40a,True
l40b,False
l41,False
l41a,True
l41b,True
l42,False
l42a,True
l42b,False
l42c,True
l42d,False
l42e,True
l42f,True
l42g,False
l42g1,False
l42g2,False
l42h,True
l42i,True
l42i1,True
l42j,False
l43,True
l44,True
l44a,False
l44b,True
l45,True
l46,True
l47,True
l48,True
l49,True
l50,True
l51,True
l52,False
l53,True
l54,True
l55,False
l56,True
l57,False
l57a,False
l57b,True
l58,True
l59,True
l59a,True
l5c,False
l5d,True
l5e,False
l5f,False
l5g,True
l5h,True
l6,False
l60,True
l61,False
l62,True
l63,True
l64,True
l65,False
l65a,False
l65b,False
l65c,False
l65d,False
l66,True
l67,True
l68,True
l69,True
l6a,True
l7,True
l70,True
l71,True
l72,False
l72a,False
l72b,False
l72c,False
l72d,True
l72e,True
l72f,True
l72g,False
l73,False
l73a,True
l74,True
l74a,True
l75,True
l76,True
l77,True
l78,True
l79,True
l7a,True
l7b,True
l80,True
l81,False
l81a,False
l81a1,True
l81a2,False
l81a3,True
l81b,False
l82,True
l83,True
l84,True
l85,False
l85a,False
l85b,True
l85b1,True
l85c,True
l85d,True
l86,False
l87,True
l88,True
l89,True
l90,False
l90a,True
l91,True
l92,False
l93,True
l93a,False
l93b,False
l94,False
l94a,False
l95,True
l95a,True
l96,False
l96a,False
l96b,False
l97,True
l98,False
l99,False
l9a,True
l9b,True
l9c,True
l9d,False
l9e,False
m10,False
m100,True
m100a,True
m101,False
m101a,True
m101b,True
m102,True
m103,True
m104,False
m105,True
m105a,True
m106,False
m106a,True
m106b,False
m106c,True
m106d,True
m106e,True
m106f,True
m106g,True
m107,True
m108,False
m108a,False
