biome,taxon_group,delta,p_one_sided,n_imgs,n_mot
Tropical & Subtropical Moist Broadleaf Forests,Aves,-0.000337428180500865,0.948,3281,1397
Tropical & Subtropical Moist Broadleaf Forests,Reptilia,-0.00034799985587596893,0.852,882,1397
Tropical & Subtropical Moist Broadleaf Forests,Amphibia,0.0005062571726739407,0.064,443,1397
Tropical & Subtropical Moist Broadleaf Forests,Actinopterygii,-0.0005382038652896881,0.96,280,1397
Tropical & Subtropical Moist Broadleaf Forests,Insecta,-4.185643047094345e-05,0.622,3681,1397
Tropical & Subtropical Moist Broadleaf Forests,Arachnida,-0.0005614710971713066,0.995,329,1397
Tropical & Subtropical Moist Broadleaf Forests,Mollusca,-6.973138079047203e-05,0.606,106,1397
Tundra,all,-4.5320019125938416e-05,0.569,1623,834
Tundra,Plantae,-0.00047833286225795746,0.895,1074,834
Tundra,Fungi,-0.00023283623158931732,0.787,56,834
Tundra,Mammalia,0.0009405501186847687,0.021,97,834
Tundra,Aves,0.0011516776867210865,0.0,294,834
Tundra,Insecta,8.217152208089828e-05,0.272,77,834
