motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
k10c,3,0.969064587095353,2.828476905822754,True
k15c,3,1.00390499122063,2.828476905822754,True
k22aa,2,-0.10967703689014954,2.828476905822754,True
k124,2,-0.2803999290818973,2.828476905822754,True
k19d,1,0.8328338654949862,2.828476905822754,True
k133,3,0.2378069301418637,2.828476905822754,True
k147a,2,-0.20997769704481276,2.828476905822754,True
k25a3,2,-1.5003573597723572,2.828476905822754,True
k27v2,1,0.7045213004316851,2.828476905822754,True
k1d,3,-0.5575736844033169,2.828476905822754,True
k32c,3,-2.2772524148122284,2.828476905822754,True
k140,3,1.6536174099944851,2.828476905822754,True
k15,3,1.0088530788351795,2.828476905822754,True
k27z2,3,1.51983104369505,2.828476905822754,True
k27h,3,1.4673764257426356,2.828476905822754,True
k25a2,2,-0.552516452450357,2.828476905822754,True
k25c,3,-0.8405826575005884,2.828476905822754,True
k27l1,3,1.0546277094797212,2.828476905822754,True
k27z2e,3,0.6863295037944281,2.828476905822754,True
k37c,3,1.0864311618823728,2.828476905822754,True
k27q1,1,0.4262757485402374,2.828476905822754,True
k30a,2,1.7016553051912862,2.828476905822754,True
k27z2a,3,1.1637388262163786,2.828476905822754,True
k35a2,2,0.06395535384864748,2.828476905822754,True
k47d,3,2.0286409115661255,2.828476905822754,True
k27v3,3,1.2440487890470953,2.828476905822754,True
k32f,2,1.2664818765473467,2.828476905822754,True
k48a,2,1.2297146963289645,2.828476905822754,True
k47c,2,1.9322894002400512,2.828476905822754,True
k56a1,2,1.1112161185600464,2.828476905822754,True
k27v,3,-0.518803577355477,2.828476905822754,True
k27u2,2,1.7425383843552127,2.828476905822754,True
k38f3,2,-0.5186389579838501,2.828476905822754,True
k27y1,3,0.6050087376959526,2.828476905822754,True
k52b,2,-2.713786453748692,2.828476905822754,True
k38b2,3,0.5638985320325715,2.828476905822754,True
k27zz2,3,3.3406325478049492,2.828476905822754,False
k52c1,2,0.41030841113204997,2.828476905822754,True
k51a,3,-2.538598949217175,2.828476905822754,True
k38b3,3,0.8367702572147944,2.828476905822754,True
k37d,2,1.2669945132831548,2.828476905822754,True
k38b1,3,0.12379327960315095,2.828476905822754,True
k7,2,1.3405669283456325,2.828476905822754,True
k43c,3,-0.24646335132895353,2.828476905822754,True
k55,3,-0.4237385821403841,2.828476905822754,True
k56a3,3,0.13968519032246385,2.828476905822754,True
k56d,3,0.12761204645421695,2.828476905822754,True
