tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
663.0,Salinan,35.599998474121094,-121.0,"Mediterranean Forests, Woodlands & Scrub",Santa Lucia Montane Chaparral & Woodlands,0.5,197859,50
664.0,Saliva,5.0,-71.30000305175781,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Llanos,0.5,2132,50
665.0,Samoa,-13.300000190734863,-172.0,Tropical & Subtropical Moist Broadleaf Forests,Samoan tropical moist forests,0.5,501,50
666.0,"Lengua, Sanapana",-24.0,-59.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Humid Chaco,1.0,1304,50
667.0,Sandawe,-5.300000190734863,35.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Southern Acacia-Commiphora bushlands and thickets,1.0,1063,50
668.0,Sanema,4.300000190734863,-64.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests,2.0,274,50
669.0,Sangir Islands,3.5999999046325684,125.5,Tropical & Subtropical Moist Broadleaf Forests,Sulawesi lowland rain forests,0.5,422,50
670.0,"Santa-Cruz, Reef islands",-11.0,166.0,Tropical & Subtropical Moist Broadleaf Forests,Vanuatu rain forests,0.5,64,50
671.0,"Santali,Turi",24.0,87.0,Tropical & Subtropical Dry Broadleaf Forests,Chhota-Nagpur dry deciduous forests,0.5,1233,50
672.0,Santee,44.688419342041016,-94.08203125,"Temperate Grasslands, Savannas & Shrublands",Central Tallgrass prairie,0.5,35050,50
673.0,Sanye,-3.0,39.900001525878906,Tropical & Subtropical Moist Broadleaf Forests,Northern Swahili coastal forests,0.5,6726,50
674.0,Sara,10.0,18.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",East Sudanian savanna,0.5,51,50
675.0,"Sardinia, Corsica",40.0,9.0,"Mediterranean Forests, Woodlands & Scrub",Tyrrhenian-Adriatic sclerophyllous and mixed forests,0.5,10992,50
676.0,Sarikoli,36.79999923706055,75.80000305175781,N/A,Rock and Ice,1.0,208,50
677.0,Sarsi,52.5,-116.0,Temperate Conifer Forests,Alberta-British Columbia foothills forests,0.5,4194,50
678.0,Saudia,24.0,44.0,Deserts & Xeric Shrublands,Arabian desert,2.0,236,50
679.0,"Fox,Sauk,Kikapoo",42.70000076293945,-84.0,Temperate Broadleaf & Mixed Forests,Southern Great Lakes forests,0.5,238691,50
680.0,Popoluca,18.0,-95.0,Tropical & Subtropical Moist Broadleaf Forests,Petén-Veracruz moist forests,0.5,14540,50
