biome,word,in_biome_n,discrim_score
Deserts & Xeric Shrublands,scissors,4,2.0226539536884367
Deserts & Xeric Shrublands,thorn,4,2.0226539536884367
Deserts & Xeric Shrublands,womb,10,1.9694262180650566
Deserts & Xeric Shrublands,beard,11,1.9600479979790324
Deserts & Xeric Shrublands,told,8,1.943849254194082
Deserts & Xeric Shrublands,season,3,1.935470593615659
Deserts & Xeric Shrublands,horizon,3,1.935470593615659
Deserts & Xeric Shrublands,sweetest,3,1.935470593615659
Deserts & Xeric Shrublands,chase,3,1.935470593615659
Deserts & Xeric Shrublands,armadillo,3,1.935470593615659
Deserts & Xeric Shrublands,chaste,3,1.935470593615659
Deserts & Xeric Shrublands,thrust,3,1.935470593615659
Deserts & Xeric Shrublands,initiative,3,1.935470593615659
Deserts & Xeric Shrublands,thin,3,1.935470593615659
Deserts & Xeric Shrublands,butt,3,1.935470593615659
Deserts & Xeric Shrublands,skill,4,1.9189281099095425
Deserts & Xeric Shrublands,beaks,4,1.9189281099095425
Deserts & Xeric Shrublands,riddles,4,1.9189281099095425
Deserts & Xeric Shrublands,winner,4,1.9189281099095425
Deserts & Xeric Shrublands,ram,5,1.9091376603691874
Deserts & Xeric Shrublands,stripes,5,1.9091376603691874
Deserts & Xeric Shrublands,yarn,5,1.9091376603691874
Deserts & Xeric Shrublands,holes,6,1.9026660072831905
Deserts & Xeric Shrublands,days,6,1.9026660072831905
Deserts & Xeric Shrublands,ferryman,6,1.9026660072831905
Flooded Grasslands & Savannas,primogeniture,3,7.698067339248816
Flooded Grasslands & Savannas,raw,3,6.359273019379455
Flooded Grasslands & Savannas,basin,3,5.8505311778291
Flooded Grasslands & Savannas,watchman,3,5.8505311778291
Flooded Grasslands & Savannas,swans,3,5.417158497989907
Flooded Grasslands & Savannas,hyena,4,4.756529412869186
Flooded Grasslands & Savannas,inner,3,4.7181703047008865
Flooded Grasslands & Savannas,organs,3,4.432220589264469
Flooded Grasslands & Savannas,pestle,3,3.9530616066412834
Flooded Grasslands & Savannas,witch,3,3.9530616066412834
Flooded Grasslands & Savannas,grasshopper,3,3.9530616066412834
Flooded Grasslands & Savannas,entrusted,3,3.750340498608397
Flooded Grasslands & Savannas,disgraced,3,3.750340498608397
Flooded Grasslands & Savannas,grouse,3,3.5673970596518894
Flooded Grasslands & Savannas,imitate,3,3.5673970596518894
Flooded Grasslands & Savannas,beauty,12,3.4618527679462128
Flooded Grasslands & Savannas,granted,3,3.4014716150169186
Flooded Grasslands & Savannas,previously,3,3.4014716150169186
Flooded Grasslands & Savannas,status,3,3.250295098793944
Flooded Grasslands & Savannas,disguise,3,3.1119846690580317
Flooded Grasslands & Savannas,patient,4,3.095519141708518
Flooded Grasslands & Savannas,unusual,5,3.085723195057542
Flooded Grasslands & Savannas,touched,4,3.0002723988867177
Flooded Grasslands & Savannas,collapses,3,2.9849648866474996
Flooded Grasslands & Savannas,magician,3,2.9849648866474996
Flooded Grasslands & Savannas,maidens,3,2.9849648866474996
Flooded Grasslands & Savannas,root,3,2.9849648866474996
Flooded Grasslands & Savannas,jars,3,2.9849648866474996
Flooded Grasslands & Savannas,evidence,6,2.954813726176313
Flooded Grasslands & Savannas,presents,6,2.8963025632817323
Flooded Grasslands & Savannas,sinks,3,2.8679074401123037
Flooded Grasslands & Savannas,disappeared,3,2.8679074401123037
Flooded Grasslands & Savannas,deceived,3,2.8679074401123037
Flooded Grasslands & Savannas,opinion,3,2.8679074401123037
Flooded Grasslands & Savannas,organ,3,2.8679074401123037
Flooded Grasslands & Savannas,lure,3,2.8679074401123037
Flooded Grasslands & Savannas,village,6,2.840063678557815
Flooded Grasslands & Savannas,drives,6,2.840063678557815
Flooded Grasslands & Savannas,happily,3,2.7596845178439144
Flooded Grasslands & Savannas,served,3,2.7596845178439144
Flooded Grasslands & Savannas,defect,3,2.7596845178439144
Flooded Grasslands & Savannas,doe,3,2.7596845178439144
Flooded Grasslands & Savannas,statue,4,2.7467282525019248
Flooded Grasslands & Savannas,strongest,4,2.671475423666255
Flooded Grasslands & Savannas,transparent,4,2.671475423666255
Flooded Grasslands & Savannas,mirror,3,2.6593323535586815
Flooded Grasslands & Savannas,grandson,3,2.6593323535586815
Flooded Grasslands & Savannas,goose,6,2.6353744044275222
Flooded Grasslands & Savannas,ancestor,5,2.6212057248338256
Flooded Grasslands & Savannas,prince,9,2.5660224464162718
Flooded Grasslands & Savannas,kinsfolk,3,2.5660224464162718
Flooded Grasslands & Savannas,stepmother,3,2.4790386346733473
Flooded Grasslands & Savannas,problems,3,2.4790386346733473
Flooded Grasslands & Savannas,inheritance,3,2.4790386346733473
Flooded Grasslands & Savannas,ordered,4,2.4685785560460336
Flooded Grasslands & Savannas,stop,4,2.4685785560460336
Flooded Grasslands & Savannas,oil,4,2.4685785560460336
Flooded Grasslands & Savannas,younger,9,2.451339878978673
Flooded Grasslands & Savannas,property,13,2.428381395650648
Flooded Grasslands & Savannas,dwarfs,6,2.4175748668715284
Flooded Grasslands & Savannas,explain,5,2.4135854694014434
Flooded Grasslands & Savannas,sells,5,2.4135854694014434
Flooded Grasslands & Savannas,sacred,4,2.4076259991066253
Flooded Grasslands & Savannas,pursue,4,2.4076259991066253
Flooded Grasslands & Savannas,innocent,4,2.4076259991066253
Flooded Grasslands & Savannas,poles,3,2.3977586794381556
Flooded Grasslands & Savannas,rich,8,2.36385098094105
Flooded Grasslands & Savannas,dream,8,2.36385098094105
Flooded Grasslands & Savannas,elder,16,2.3567094371919834
Flooded Grasslands & Savannas,telling,3,2.3216393562813886
Flooded Grasslands & Savannas,needle,5,2.3216393562813886
Flooded Grasslands & Savannas,blinded,3,2.3216393562813886
Flooded Grasslands & Savannas,until,3,2.3216393562813886
Flooded Grasslands & Savannas,prediction,3,2.3216393562813886
Flooded Grasslands & Savannas,hears,4,2.294325952089843
Flooded Grasslands & Savannas,ungulate,5,2.278244228126596
Flooded Grasslands & Savannas,geese,5,2.278244228126596
Flooded Grasslands & Savannas,simultaneously,3,2.250204299165038
Flooded Grasslands & Savannas,riddle,3,2.250204299165038
Flooded Grasslands & Savannas,queen,3,2.250204299165038
Mangroves,bench,3,16.468917018284106
Mangroves,armpits,3,13.47456846950518
Mangroves,pestle,3,12.017858364693808
Mangroves,tapir,5,10.152072134558697
Mangroves,earthquakes,3,9.460867223269593
Mangroves,touched,4,9.121246348588121
Mangroves,extra,3,9.074709377421856
Mangroves,downward,3,8.389825650823978
Mangroves,worlds,5,8.143969954096537
Mangroves,unborn,4,8.121657707646959
Mangroves,call,4,7.504822945040859
Mangroves,path,7,7.058107293550331
Mangroves,aquatic,3,7.058107293550331
Mangroves,dam,3,7.058107293550331
Mangroves,reared,4,6.375064652239009
Mangroves,artificial,4,5.988697097557857
Mangroves,age,3,5.628617208780644
Mangroves,womb,4,5.54094404353484
Mangroves,rises,3,5.489639006094702
Mangroves,hen,3,5.489639006094702
Mangroves,deity,5,4.9079554027998995
Mangroves,chickens,3,4.781298489179257
Mangroves,cataclysm,3,4.680639573617588
Mangroves,suns,6,4.46895235672031
Mangroves,forever,3,4.402581777165058
Mangroves,changed,3,4.402581777165058
Mangroves,darkness,3,4.317094752365737
Mangroves,immortal,4,4.2653310263181865
Mangroves,paramour,13,4.179746835443038
Mangroves,normal,4,4.1460210675400555
Mangroves,container,9,4.030157941030249
Mangroves,sunrise,3,4.005952788231269
Mangroves,tasks,6,3.9525400843881857
Mangroves,den,3,3.9350509689705384
Mangroves,burial,4,3.92636432223992
Mangroves,amount,3,3.866615299944964
Mangroves,behaves,3,3.866615299944964
Mangroves,swallows,4,3.825038791343406
Mangroves,ascends,6,3.8168305535937415
Mangroves,bite,3,3.73664503776194
Mangroves,trunk,3,3.6748823098650485
Mangroves,walks,4,3.6373068261240973
Mangroves,worm,3,3.615128125964804
Mangroves,offended,4,3.5501857045402865
Mangroves,dwarfs,3,3.50126582278481
Mangroves,rabbit,8,3.4570321437797547
Mangroves,responsible,5,3.4469826317338828
Mangroves,revenge,3,3.3943569426997775
Mangroves,lunar,5,3.384024044852899
Mangroves,anus,8,3.378239388365971
Mangroves,orion,6,3.3559302603295915
Mangroves,relations,5,3.3233240619855824
Mangroves,bridge,6,3.306027951625806
Mangroves,waters,5,3.293783403656821
Mangroves,pick,3,3.293783403656821
Mangroves,spider,5,3.293783403656821
Mangroves,original,7,3.273002435810406
Mangroves,rejected,3,3.245698974406357
Mangroves,pregnant,3,3.245698974406357
Mangroves,advices,3,3.245698974406357
Mangroves,cave,5,3.23625006909513
Mangroves,flood,6,3.2105469999543024
Mangroves,sons,5,3.2082305879774236
Mangroves,dark,4,3.2047622305850156
Mangroves,close,4,3.1369365749112585
Mangroves,figure,5,3.127009560433691
Mangroves,mortal,6,3.1204263824117255
Mangroves,fingers,3,3.1095158006550414
Mangroves,ones,6,3.0986812508269743
Mangroves,destroyed,6,3.077237089921598
Mangroves,correct,5,3.0751089868165344
Mangroves,hunters,4,3.071922345379419
Mangroves,coming,7,3.0605951980881967
Mangroves,eclipses,5,3.024903125807285
Mangroves,disc,3,3.024903125807285
Mangroves,next,4,2.949656779394169
Mangroves,kind,3,2.9447732416799397
Mangroves,anthropomorphic,9,2.881171227820762
Mangroves,connected,3,2.868779093507554
Mangroves,snakes,3,2.868779093507554
"Mediterranean Forests, Woodlands & Scrub",harnessed,3,10.95434941277951
"Mediterranean Forests, Woodlands & Scrub",chimney,3,10.95434941277951
"Mediterranean Forests, Woodlands & Scrub",cain,3,5.898495837650506
"Mediterranean Forests, Woodlands & Scrub",adam,3,5.898495837650506
"Mediterranean Forests, Woodlands & Scrub",jewelry,4,5.381083922067127
"Mediterranean Forests, Woodlands & Scrub",march,4,4.089623780771017
"Mediterranean Forests, Woodlands & Scrub",primogeniture,3,4.035812941550346
"Mediterranean Forests, Woodlands & Scrub",eve,6,3.9323305584336707
"Mediterranean Forests, Woodlands & Scrub",ring,5,3.8727497923967964
"Mediterranean Forests, Woodlands & Scrub",castrated,3,3.651449804259837
"Mediterranean Forests, Woodlands & Scrub",robber,4,3.2980836941701748
